FN,T,MV,MA,MS,DP,DT
Data_20200529_095156.csv,0,0,0.1,0,0,0
Data_20200529_095156.csv,0.05,10,0.5,43,0,0
Data_20200529_095156.csv,0.1,19,0.8,97,4,0
Data_20200529_095156.csv,0.15,26,0.8,153,11,0
Data_20200529_095156.csv,0.2,34,3.1,46,14,0
Data_20200529_095156.csv,0.25,43,3.1,121,18,0
Data_20200529_095156.csv,0.3,50,2.8,197,26,0
Data_20200529_095156.csv,0.35,54,2.3,265,38,0
Data_20200529_095156.csv,0.4,54,1.7,312,53,0
Data_20200529_095156.csv,0.45,53,1.2,335,69,0
Data_20200529_095156.csv,0.5,51,0.8,350,86,0
Data_20200529_095156.csv,0.55,48,0.4,354,104,0
Data_20200529_095156.csv,0.6,44,0.3,333,121,0
Data_20200529_095156.csv,0.65,41,0.3,318,137,0
Data_20200529_095156.csv,0.7,40,0.3,298,152,0
Data_20200529_095156.csv,0.75,39,0.2,297,167,0
Data_20200529_095156.csv,0.8,39,0,312,183,0
Data_20200529_095156.csv,0.85,36,0,288,198,0
Data_20200529_095156.csv,0.9,36,0,286,212,0
Data_20200529_095156.csv,0.95,35,0,280,226,0
Data_20200529_095156.csv,1,33,0.1,264,240,0
Data_20200529_095156.csv,1.05,33,0.1,254,253,0
Data_20200529_095156.csv,1.1,33,0.2,257,266,0
Data_20200529_095156.csv,1.15,34,0.2,259,279,0
Data_20200529_095156.csv,1.2,34,0.2,260,292,0
Data_20200529_095156.csv,1.25,34,0.2,261,305,0
Data_20200529_095156.csv,1.3,34,0.3,258,318,0
Data_20200529_095156.csv,1.35,35,0.3,253,331,0
Data_20200529_095156.csv,1.4,35,0.4,252,343,0
Data_20200529_095156.csv,1.45,36,0.5,255,356,0
Data_20200529_095156.csv,1.5,36,0.4,261,369,0
Data_20200529_095156.csv,1.55,37,0.5,265,382,0
Data_20200529_095156.csv,1.6,37,0.4,268,395,0
Data_20200529_095156.csv,1.65,37,0.5,268,409,0
Data_20200529_095156.csv,1.7,38,0.4,268,422,0
Data_20200529_095156.csv,1.75,37,0.4,270,436,0
Data_20200529_095156.csv,1.8,37,0.4,270,449,0
Data_20200529_095156.csv,1.85,38,0.4,275,463,0
Data_20200529_095156.csv,1.9,38,0.4,278,477,0
Data_20200529_095156.csv,1.95,38,0.4,274,490,0
Data_20200529_095156.csv,2,37,0.3,277,518,0
Data_20200529_095156.csv,2.05,34,0.1,263,532,0
Data_20200529_095156.csv,2.1,28,0.1,223,544,0
Data_20200529_095156.csv,2.15,25,0,204,555,0
Data_20200529_095156.csv,2.2,20,0,171,564,0
Data_20200529_095156.csv,2.25,20,0,156,572,0
Data_20200529_095156.csv,2.3,17,0,139,579,0
Data_20200529_095156.csv,2.35,15,0,119,586,0
Data_20200529_095156.csv,2.4,14,0.1,105,591,0
Data_20200529_095156.csv,2.45,14,0.1,110,597,0
Data_20200529_095156.csv,2.5,13,0.1,99,602,0
Data_20200529_095156.csv,2.55,13,0.2,99,607,0
Data_20200529_095156.csv,2.6,14,0.2,99,612,0
Data_20200529_095156.csv,2.65,14,0.2,100,617,0
Data_20200529_095156.csv,2.7,14,0.3,96,622,0
Data_20200529_095156.csv,2.75,15,0.3,100,627,0
Data_20200529_095156.csv,2.8,15,0.3,105,632,0
Data_20200529_095156.csv,2.85,16,0.3,106,637,0
Data_20200529_095156.csv,2.9,6,0.2,42,641,0
Data_20200529_095156.csv,2.95,9,0.4,50,643,0
Data_20200529_095156.csv,3,9,0.4,40,645,0
Data_20200529_095156.csv,3.05,9,0.5,35,647,0
Data_20200529_095156.csv,3.1,8,0.8,11,648,0
Data_20200529_095156.csv,3.15,9,1.3,0,648,0
Data_20200529_095156.csv,3.2,8,1.2,0,648,0
Data_20200529_095156.csv,3.25,9,1.5,0,648,0
Data_20200529_095156.csv,3.3,0,0,0,648,0
Data_20200529_095156.csv,3.35,0,0,0,648,0
Data_20200529_095156.csv,3.4,0,0,0,648,0
Data_20200529_095156.csv,3.45,0,0,0,648,0
Data_20200529_095156.csv,3.5,0,0,0,648,0
Data_20200529_095156.csv,3.55,0,0,0,648,0
Data_20200529_095156.csv,3.6,0,0,0,648,0
